bank.account,duration.in.month,credit.history,purpose,credit.amount,savings,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreigner,creditability
yes,36,existing credits paid back duly till now,car (used),8335,unknown/no savings,... >= 7 years,20 <= ... < 25,male : single,none,>= 7 years,unknown / no property,47,none,for free,1,skilled employee / official,1,none,yes,bad
yes,48,delay in paying off in the past,business,6681,unknown/no savings,1 <= ... < 4 years,< 20,male : single,none,>= 7 years,unknown / no property,38,none,for free,1,skilled employee / official,2,registered under the customers name,yes,good
no,24,delay in paying off in the past,business,2375,5000 <= ... < 10000,1 <= ... < 4 years,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,44,none,own,2,skilled employee / official,2,registered under the customers name,yes,good
yes,18,existing credits paid back duly till now,car (new),1216,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,4 <= ... < 7 years,car or other-not included in savings,23,none,rent,1,skilled employee / official,1,registered under the customers name,yes,bad
yes,45,no credits taken/ all credits paid back duly,business,11816,... < 1000,... >= 7 years,25 <= ... < 35,male : single,none,>= 7 years,car or other-not included in savings,29,none,rent,2,skilled employee / official,1,none,yes,bad
yes,24,existing credits paid back duly till now,radio/television,5084,unknown/no savings,... >= 7 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,42,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,15,existing credits paid back duly till now,radio/television,2327,... < 1000,... < 1 year,25 <= ... < 35,female : divorced/separated/married,none,4 <= ... < 7 years,real estate,25,none,own,1,unskilled - resident,1,none,yes,bad
yes,12,no credits taken/ all credits paid back duly,car (new),1082,... < 1000,1 <= ... < 4 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,48,bank,own,2,skilled employee / official,1,none,yes,bad
no,12,existing credits paid back duly till now,radio/television,886,unknown/no savings,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,21,none,own,1,skilled employee / official,1,none,yes,good
no,4,existing credits paid back duly till now,furniture/equipment,601,... < 1000,... < 1 year,>= 35,female : divorced/separated/married,none,4 <= ... < 7 years,real estate,23,none,rent,1,unskilled - resident,2,none,yes,good
yes,24,critical account/ other credits existing (other lender),car (used),2957,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,building society savings agreement/ life insurance,63,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
no,24,critical account/ other credits existing (other lender),radio/television,2611,... < 1000,... >= 7 years,< 20,male : married/widowed,co-applicant,4 <= ... < 7 years,real estate,46,none,own,2,skilled employee / official,1,none,yes,good
yes,36,existing credits paid back duly till now,furniture/equipment,5179,... < 1000,4 <= ... < 7 years,< 20,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,none,yes,bad
no,21,delay in paying off in the past,car (used),2993,... < 1000,1 <= ... < 4 years,20 <= ... < 25,male : single,none,1 <= ... < 4 years,real estate,28,stores,own,2,unskilled - resident,1,none,yes,good
no,18,existing credits paid back duly till now,repairs,1943,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,>= 7 years,real estate,23,none,own,1,skilled employee / official,1,none,yes,bad
no,24,all credits at this bank paid back duly,business,1559,... < 1000,4 <= ... < 7 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,50,bank,own,1,skilled employee / official,1,registered under the customers name,yes,good
no,18,existing credits paid back duly till now,furniture/equipment,3422,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,building society savings agreement/ life insurance,47,bank,own,3,skilled employee / official,2,registered under the customers name,yes,good
yes,21,existing credits paid back duly till now,furniture/equipment,3976,unknown/no savings,4 <= ... < 7 years,25 <= ... < 35,male : single,none,4 <= ... < 7 years,car or other-not included in savings,35,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
no,18,existing credits paid back duly till now,car (new),6761,unknown/no savings,1 <= ... < 4 years,25 <= ... < 35,male : single,none,>= 7 years,car or other-not included in savings,68,none,rent,2,skilled employee / official,1,none,yes,bad
no,24,existing credits paid back duly till now,car (new),1249,... < 1000,... < 1 year,< 20,male : married/widowed,none,1 <= ... < 4 years,real estate,28,none,own,1,skilled employee / official,1,none,yes,good
yes,9,existing credits paid back duly till now,radio/television,1364,... < 1000,4 <= ... < 7 years,20 <= ... < 25,male : single,none,>= 7 years,real estate,59,none,own,1,skilled employee / official,1,none,yes,good
yes,12,existing credits paid back duly till now,radio/television,709,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,real estate,57,stores,own,1,unskilled - resident,1,none,yes,bad
yes,20,critical account/ other credits existing (other lender),car (new),2235,... < 1000,1 <= ... < 4 years,< 20,male : married/widowed,guarantor,1 <= ... < 4 years,building society savings agreement/ life insurance,33,bank,rent,2,skilled employee / official,1,none,no,bad
no,24,critical account/ other credits existing (other lender),car (used),4042,unknown/no savings,4 <= ... < 7 years,20 <= ... < 25,male : single,none,>= 7 years,building society savings agreement/ life insurance,43,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
no,15,critical account/ other credits existing (other lender),radio/television,1471,... < 1000,1 <= ... < 4 years,< 20,male : single,none,>= 7 years,unknown / no property,35,none,for free,2,skilled employee / official,1,registered under the customers name,yes,good
yes,18,all credits at this bank paid back duly,car (new),1442,... < 1000,4 <= ... < 7 years,< 20,male : single,none,>= 7 years,unknown / no property,32,none,for free,2,unskilled - resident,2,none,yes,bad
no,36,delay in paying off in the past,car (new),10875,... < 1000,... >= 7 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,car or other-not included in savings,45,none,own,2,skilled employee / official,2,registered under the customers name,yes,good
no,24,existing credits paid back duly till now,car (new),1474,1000 <= ... < 5000,... < 1 year,< 20,male : married/widowed,none,4 <= ... < 7 years,real estate,33,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
no,10,existing credits paid back duly till now,retraining,894,unknown/no savings,4 <= ... < 7 years,< 20,female : divorced/separated/married,none,4 <= ... < 7 years,building society savings agreement/ life insurance,40,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
no,15,critical account/ other credits existing (other lender),furniture/equipment,3343,... < 1000,1 <= ... < 4 years,< 20,male : single,none,1 <= ... < 4 years,unknown / no property,28,none,for free,1,skilled employee / official,1,registered under the customers name,yes,good
yes,15,existing credits paid back duly till now,car (new),3959,... < 1000,1 <= ... < 4 years,20 <= ... < 25,female : divorced/separated/married,none,1 <= ... < 4 years,building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,registered under the customers name,yes,bad
no,9,existing credits paid back duly till now,car (new),3577,1000 <= ... < 5000,1 <= ... < 4 years,>= 35,male : single,guarantor,1 <= ... < 4 years,real estate,26,none,rent,1,skilled employee / official,2,none,no,good
no,24,critical account/ other credits existing (other lender),car (used),5804,... >= 10000,1 <= ... < 4 years,< 20,male : single,none,1 <= ... < 4 years,real estate,27,none,own,2,skilled employee / official,1,none,yes,good
no,18,delay in paying off in the past,business,2169,... < 1000,1 <= ... < 4 years,< 20,male : married/widowed,none,1 <= ... < 4 years,car or other-not included in savings,28,none,own,1,skilled employee / official,1,registered under the customers name,yes,bad
yes,24,existing credits paid back duly till now,radio/television,2439,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,>= 7 years,real estate,35,none,own,1,skilled employee / official,1,registered under the customers name,yes,bad
no,27,critical account/ other credits existing (other lender),furniture/equipment,4526,... >= 10000,... < 1 year,< 20,male : single,none,1 <= ... < 4 years,real estate,32,stores,own,2,unskilled - resident,2,registered under the customers name,yes,good
no,10,existing credits paid back duly till now,furniture/equipment,2210,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,real estate,25,bank,rent,1,unskilled - resident,1,none,yes,bad
no,15,existing credits paid back duly till now,furniture/equipment,2221,5000 <= ... < 10000,1 <= ... < 4 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,20,none,rent,1,skilled employee / official,1,none,yes,good
yes,18,existing credits paid back duly till now,radio/television,2389,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,< 1 year,car or other-not included in savings,27,stores,own,1,skilled employee / official,1,none,yes,good
no,12,critical account/ other credits existing (other lender),furniture/equipment,3331,... < 1000,... >= 7 years,25 <= ... < 35,male : single,none,>= 7 years,building society savings agreement/ life insurance,42,stores,own,1,skilled employee / official,1,none,yes,good
no,36,existing credits paid back duly till now,business,7409,unknown/no savings,... >= 7 years,20 <= ... < 25,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,37,none,own,2,skilled employee / official,1,none,yes,good
yes,12,existing credits paid back duly till now,furniture/equipment,652,... < 1000,... >= 7 years,< 20,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,none,yes,good
no,36,delay in paying off in the past,furniture/equipment,7678,5000 <= ... < 10000,4 <= ... < 7 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,40,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
yes,6,critical account/ other credits existing (other lender),car (new),1343,... < 1000,... >= 7 years,>= 35,male : single,none,>= 7 years,real estate,46,none,own,2,skilled employee / official,2,none,no,good
yes,24,critical account/ other credits existing (other lender),business,1382,1000 <= ... < 5000,4 <= ... < 7 years,< 20,male : single,none,< 1 year,real estate,26,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
no,15,existing credits paid back duly till now,domestic appliances,874,unknown/no savings,... < 1 year,< 20,female : divorced/separated/married,none,< 1 year,real estate,24,none,own,1,skilled employee / official,1,none,yes,good
yes,12,existing credits paid back duly till now,furniture/equipment,3590,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : single,co-applicant,1 <= ... < 4 years,building society savings agreement/ life insurance,29,none,own,1,unskilled - resident,2,none,yes,good
yes,11,critical account/ other credits existing (other lender),car (new),1322,... >= 10000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,40,none,own,2,skilled employee / official,1,none,yes,good
yes,18,all credits at this bank paid back duly,radio/television,1940,... < 1000,... < 1 year,20 <= ... < 25,male : single,co-applicant,>= 7 years,unknown / no property,36,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
no,36,existing credits paid back duly till now,radio/television,3595,... < 1000,... >= 7 years,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,28,none,own,1,skilled employee / official,1,none,yes,good
yes,9,existing credits paid back duly till now,car (new),1422,... < 1000,... < 1 year,20 <= ... < 25,male : single,none,1 <= ... < 4 years,unknown / no property,27,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,bad
no,30,critical account/ other credits existing (other lender),radio/television,6742,unknown/no savings,4 <= ... < 7 years,25 <= ... < 35,male : single,none,4 <= ... < 7 years,building society savings agreement/ life insurance,36,none,own,2,skilled employee / official,1,none,yes,good
no,24,existing credits paid back duly till now,car (used),7814,... < 1000,4 <= ... < 7 years,20 <= ... < 25,male : single,none,4 <= ... < 7 years,car or other-not included in savings,38,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
no,24,existing credits paid back duly till now,car (used),9277,unknown/no savings,1 <= ... < 4 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,unknown / no property,48,none,for free,1,skilled employee / official,1,registered under the customers name,yes,good
yes,30,critical account/ other credits existing (other lender),car (new),2181,unknown/no savings,... >= 7 years,< 20,male : single,none,>= 7 years,real estate,36,none,own,2,skilled employee / official,1,none,yes,good
no,18,critical account/ other credits existing (other lender),radio/television,1098,... < 1000,unemployed,< 20,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,65,none,own,2,unemployed/ unskilled - non-resident,1,none,yes,good
yes,24,existing credits paid back duly till now,furniture/equipment,4057,... < 1000,4 <= ... < 7 years,20 <= ... < 25,female : divorced/separated/married,none,4 <= ... < 7 years,car or other-not included in savings,43,none,own,1,skilled employee / official,1,registered under the customers name,yes,bad
yes,12,existing credits paid back duly till now,education,795,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,53,none,own,1,skilled employee / official,1,none,yes,bad
yes,24,critical account/ other credits existing (other lender),business,2825,unknown/no savings,4 <= ... < 7 years,< 20,male : single,none,4 <= ... < 7 years,unknown / no property,34,none,own,2,skilled employee / official,2,registered under the customers name,yes,good
yes,48,existing credits paid back duly till now,business,15672,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,car or other-not included in savings,23,none,own,1,skilled employee / official,1,registered under the customers name,yes,bad
no,36,critical account/ other credits existing (other lender),car (new),6614,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
no,28,all credits at this bank paid back duly,car (used),7824,unknown/no savings,... < 1 year,20 <= ... < 25,male : single,guarantor,>= 7 years,real estate,40,bank,rent,2,skilled employee / official,2,registered under the customers name,yes,good
yes,27,critical account/ other credits existing (other lender),business,2442,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,43,stores,own,4,management/ self-employed/ highly qualified employee/ officer,2,registered under the customers name,yes,good
no,15,critical account/ other credits existing (other lender),radio/television,1829,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,46,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
yes,12,critical account/ other credits existing (other lender),car (new),2171,... < 1000,1 <= ... < 4 years,< 20,male : single,none,>= 7 years,building society savings agreement/ life insurance,38,bank,own,2,unskilled - resident,1,none,no,good
yes,36,critical account/ other credits existing (other lender),car (used),5800,... < 1000,1 <= ... < 4 years,20 <= ... < 25,male : single,none,>= 7 years,car or other-not included in savings,34,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
no,18,critical account/ other credits existing (other lender),radio/television,1169,unknown/no savings,1 <= ... < 4 years,< 20,male : single,none,4 <= ... < 7 years,building society savings agreement/ life insurance,29,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
no,36,delay in paying off in the past,car (used),8947,unknown/no savings,4 <= ... < 7 years,20 <= ... < 25,male : single,none,1 <= ... < 4 years,car or other-not included in savings,31,stores,own,1,management/ self-employed/ highly qualified employee/ officer,2,registered under the customers name,yes,good
yes,21,existing credits paid back duly till now,radio/television,2606,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,28,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
no,12,critical account/ other credits existing (other lender),furniture/equipment,1592,... >= 10000,4 <= ... < 7 years,20 <= ... < 25,female : divorced/separated/married,none,1 <= ... < 4 years,building society savings agreement/ life insurance,35,none,own,1,skilled employee / official,1,none,no,good
no,15,existing credits paid back duly till now,furniture/equipment,2186,unknown/no savings,4 <= ... < 7 years,>= 35,female : divorced/separated/married,none,>= 7 years,real estate,33,bank,rent,1,unskilled - resident,1,none,yes,good
yes,18,existing credits paid back duly till now,furniture/equipment,4153,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : single,co-applicant,4 <= ... < 7 years,car or other-not included in savings,42,none,own,1,skilled employee / official,1,none,yes,bad
yes,16,critical account/ other credits existing (other lender),car (new),2625,... < 1000,... >= 7 years,25 <= ... < 35,male : single,guarantor,>= 7 years,building society savings agreement/ life insurance,43,bank,rent,1,skilled employee / official,1,registered under the customers name,yes,bad
no,20,critical account/ other credits existing (other lender),car (new),3485,unknown/no savings,... < 1 year,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,real estate,44,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
no,36,critical account/ other credits existing (other lender),car (used),10477,unknown/no savings,... >= 7 years,25 <= ... < 35,male : single,none,>= 7 years,unknown / no property,42,none,for free,2,skilled employee / official,1,none,yes,good
no,15,existing credits paid back duly till now,radio/television,1386,unknown/no savings,1 <= ... < 4 years,< 20,male : married/widowed,none,1 <= ... < 4 years,real estate,40,none,rent,1,skilled employee / official,1,registered under the customers name,yes,good
no,24,existing credits paid back duly till now,radio/television,1278,... < 1000,... >= 7 years,< 20,male : single,none,< 1 year,real estate,36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,12,existing credits paid back duly till now,radio/television,1107,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,real estate,20,none,rent,1,management/ self-employed/ highly qualified employee/ officer,2,registered under the customers name,yes,good
yes,21,existing credits paid back duly till now,car (new),3763,unknown/no savings,4 <= ... < 7 years,25 <= ... < 35,male : single,co-applicant,1 <= ... < 4 years,real estate,24,none,own,1,unskilled - resident,1,none,no,good
yes,36,existing credits paid back duly till now,education,3711,unknown/no savings,1 <= ... < 4 years,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 years,car or other-not included in savings,27,none,own,1,skilled employee / official,1,none,yes,good
no,15,delay in paying off in the past,car (used),3594,... < 1000,... < 1 year,>= 35,female : divorced/separated/married,none,1 <= ... < 4 years,building society savings agreement/ life insurance,46,none,own,2,unskilled - resident,1,none,yes,good
yes,9,existing credits paid back duly till now,car (new),3195,unknown/no savings,1 <= ... < 4 years,>= 35,female : divorced/separated/married,none,1 <= ... < 4 years,real estate,33,none,own,1,unskilled - resident,1,none,yes,good
no,36,delay in paying off in the past,radio/television,4454,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,>= 7 years,real estate,34,none,own,2,skilled employee / official,1,none,yes,good
yes,24,critical account/ other credits existing (other lender),furniture/equipment,4736,... < 1000,... < 1 year,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,25,bank,own,1,unskilled - resident,1,none,yes,bad
yes,30,existing credits paid back duly till now,radio/television,2991,unknown/no savings,... >= 7 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,25,none,own,1,skilled employee / official,1,none,yes,good
no,11,existing credits paid back duly till now,business,2142,... >= 10000,... >= 7 years,>= 35,female : divorced/separated/married,none,1 <= ... < 4 years,real estate,28,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,24,all credits at this bank paid back duly,business,3161,... < 1000,1 <= ... < 4 years,< 20,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,31,none,rent,1,skilled employee / official,1,registered under the customers name,yes,bad
yes,48,no credits taken/ all credits paid back duly,others,18424,... < 1000,1 <= ... < 4 years,>= 35,female : divorced/separated/married,none,1 <= ... < 4 years,building society savings agreement/ life insurance,32,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,no,bad
no,10,existing credits paid back duly till now,car (used),2848,1000 <= ... < 5000,1 <= ... < 4 years,>= 35,male : single,co-applicant,1 <= ... < 4 years,real estate,32,none,own,1,skilled employee / official,2,none,yes,good
yes,6,existing credits paid back duly till now,car (new),14896,... < 1000,... >= 7 years,>= 35,male : single,none,>= 7 years,unknown / no property,68,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,bad
yes,24,existing credits paid back duly till now,furniture/equipment,2359,1000 <= ... < 5000,unemployed,>= 35,female : divorced/separated/married,none,< 1 year,building society savings agreement/ life insurance,33,none,own,1,skilled employee / official,1,none,yes,bad
yes,24,existing credits paid back duly till now,furniture/equipment,3345,... < 1000,... >= 7 years,< 20,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,39,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,bad
no,18,critical account/ other credits existing (other lender),furniture/equipment,1817,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,unknown / no property,28,none,own,2,skilled employee / official,1,none,yes,good
no,48,delay in paying off in the past,radio/television,12749,5000 <= ... < 10000,4 <= ... < 7 years,< 20,male : single,none,< 1 year,car or other-not included in savings,37,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,9,existing credits paid back duly till now,radio/television,1366,... < 1000,... < 1 year,20 <= ... < 25,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,22,none,rent,1,skilled employee / official,1,none,yes,bad
yes,12,existing credits paid back duly till now,car (new),2002,... < 1000,4 <= ... < 7 years,20 <= ... < 25,male : single,none,>= 7 years,building society savings agreement/ life insurance,30,none,rent,1,skilled employee / official,2,registered under the customers name,yes,good
yes,24,all credits at this bank paid back duly,furniture/equipment,6872,... < 1000,... < 1 year,25 <= ... < 35,female : divorced/separated/married,none,< 1 year,building society savings agreement/ life insurance,55,bank,own,1,skilled employee / official,1,registered under the customers name,yes,bad
yes,12,all credits at this bank paid back duly,car (new),697,... < 1000,... < 1 year,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,46,bank,own,2,skilled employee / official,1,registered under the customers name,yes,bad
yes,18,critical account/ other credits existing (other lender),furniture/equipment,1049,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes,good
yes,48,existing credits paid back duly till now,car (used),10297,... < 1000,4 <= ... < 7 years,< 20,male : single,none,>= 7 years,unknown / no property,39,stores,for free,3,skilled employee / official,2,registered under the customers name,yes,bad
no,30,existing credits paid back duly till now,radio/television,1867,unknown/no savings,... >= 7 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,58,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,12,delay in paying off in the past,car (new),1344,... < 1000,1 <= ... < 4 years,< 20,male : single,none,1 <= ... < 4 years,real estate,43,none,own,2,unskilled - resident,2,none,yes,good
yes,24,existing credits paid back duly till now,furniture/equipment,1747,... < 1000,... < 1 year,< 20,male : single,co-applicant,< 1 year,building society savings agreement/ life insurance,24,none,own,1,unskilled - resident,1,none,no,good
yes,9,existing credits paid back duly till now,radio/television,1670,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,22,none,own,1,skilled employee / official,1,registered under the customers name,yes,bad
no,9,critical account/ other credits existing (other lender),car (new),1224,... < 1000,1 <= ... < 4 years,20 <= ... < 25,male : single,none,< 1 year,real estate,30,none,own,2,skilled employee / official,1,none,yes,good
no,12,critical account/ other credits existing (other lender),radio/television,522,5000 <= ... < 10000,... >= 7 years,< 20,male : single,none,>= 7 years,building society savings agreement/ life insurance,42,none,own,2,skilled employee / official,2,registered under the customers name,yes,good
yes,12,existing credits paid back duly till now,radio/television,1498,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,< 1 year,car or other-not included in savings,23,bank,own,1,skilled employee / official,1,none,yes,good
yes,30,delay in paying off in the past,radio/television,1919,1000 <= ... < 5000,... < 1 year,< 20,male : single,none,4 <= ... < 7 years,unknown / no property,30,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,bad
yes,9,existing credits paid back duly till now,radio/television,745,... < 1000,1 <= ... < 4 years,20 <= ... < 25,female : divorced/separated/married,none,1 <= ... < 4 years,real estate,28,none,own,1,unskilled - resident,1,none,yes,bad
yes,6,existing credits paid back duly till now,radio/television,2063,... < 1000,... < 1 year,< 20,male : married/widowed,none,4 <= ... < 7 years,car or other-not included in savings,30,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,60,existing credits paid back duly till now,education,6288,... < 1000,1 <= ... < 4 years,< 20,male : single,none,>= 7 years,unknown / no property,42,none,for free,1,skilled employee / official,1,none,yes,bad
no,24,critical account/ other credits existing (other lender),car (used),6842,unknown/no savings,1 <= ... < 4 years,25 <= ... < 35,male : single,none,>= 7 years,building society savings agreement/ life insurance,46,none,own,2,management/ self-employed/ highly qualified employee/ officer,2,registered under the customers name,yes,good
no,12,existing credits paid back duly till now,car (new),3527,unknown/no savings,... < 1 year,25 <= ... < 35,male : single,none,4 <= ... < 7 years,building society savings agreement/ life insurance,45,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,registered under the customers name,yes,good
no,10,existing credits paid back duly till now,car (new),1546,... < 1000,1 <= ... < 4 years,20 <= ... < 25,male : single,none,1 <= ... < 4 years,real estate,31,none,own,1,unskilled - resident,2,none,no,good
no,24,existing credits paid back duly till now,furniture/equipment,929,unknown/no savings,4 <= ... < 7 years,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,31,stores,own,1,skilled employee / official,1,registered under the customers name,yes,good
no,4,critical account/ other credits existing (other lender),car (new),1455,... < 1000,4 <= ... < 7 years,25 <= ... < 35,male : single,none,< 1 year,real estate,42,none,own,3,unskilled - resident,2,none,yes,good
yes,15,existing credits paid back duly till now,furniture/equipment,1845,... < 1000,... < 1 year,< 20,female : divorced/separated/married,guarantor,< 1 year,building society savings agreement/ life insurance,46,none,rent,1,skilled employee / official,1,none,yes,good
yes,48,no credits taken/ all credits paid back duly,car (new),8358,5000 <= ... < 10000,... < 1 year,>= 35,female : divorced/separated/married,none,< 1 year,car or other-not included in savings,30,none,own,2,skilled employee / official,1,none,yes,good
yes,24,all credits at this bank paid back duly,furniture/equipment,3349,5000 <= ... < 10000,... < 1 year,< 20,male : single,none,>= 7 years,unknown / no property,30,none,for free,1,skilled employee / official,2,registered under the customers name,yes,bad
no,12,existing credits paid back duly till now,car (new),2859,unknown/no savings,unemployed,< 20,male : single,none,>= 7 years,unknown / no property,38,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
no,18,existing credits paid back duly till now,furniture/equipment,1533,... < 1000,... < 1 year,< 20,male : married/widowed,co-applicant,< 1 year,building society savings agreement/ life insurance,43,none,own,1,unskilled - resident,2,none,yes,bad
no,24,existing credits paid back duly till now,radio/television,3621,1000 <= ... < 5000,... >= 7 years,25 <= ... < 35,male : single,none,>= 7 years,car or other-not included in savings,31,none,own,2,skilled employee / official,1,none,yes,bad
yes,18,critical account/ other credits existing (other lender),business,3590,... < 1000,unemployed,20 <= ... < 25,male : married/widowed,none,4 <= ... < 7 years,car or other-not included in savings,40,none,own,3,unemployed/ unskilled - non-resident,2,registered under the customers name,yes,good
yes,36,delay in paying off in the past,business,2145,... < 1000,4 <= ... < 7 years,25 <= ... < 35,male : single,none,< 1 year,car or other-not included in savings,24,none,own,2,skilled employee / official,1,registered under the customers name,yes,bad
yes,24,existing credits paid back duly till now,car (used),4113,5000 <= ... < 10000,... < 1 year,20 <= ... < 25,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,28,none,rent,1,skilled employee / official,1,none,yes,bad
no,36,existing credits paid back duly till now,furniture/equipment,10974,... < 1000,unemployed,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,26,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,bad
yes,12,existing credits paid back duly till now,car (new),1893,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,guarantor,>= 7 years,building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,24,critical account/ other credits existing (other lender),radio/television,1231,... >= 10000,... >= 7 years,< 20,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,57,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,30,critical account/ other credits existing (other lender),radio/television,3656,unknown/no savings,... >= 7 years,< 20,male : single,none,>= 7 years,building society savings agreement/ life insurance,49,stores,own,2,unskilled - resident,1,none,yes,good
yes,9,critical account/ other credits existing (other lender),radio/television,1154,... < 1000,... >= 7 years,25 <= ... < 35,male : single,none,>= 7 years,real estate,37,none,own,3,unskilled - resident,1,none,yes,good
